,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0500722866257
Signature.6,0.0436472766284
Signature.7,0.0206532543642
Signature.8,0.118671647846
Signature.9,0.0345552477497
Signature.10,0.0362896128704
Signature.11,0.0
Signature.12,0.0676363657514
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.011614313626
Signature.22,0.293342541587
Signature.23,0.0
Signature.24,0.0844067824805
Signature.25,0.0995365483205
Signature.26,0.0283945743987
Signature.27,0.0
Signature.28,0.111179547752
Signature.29,0.0
Signature.30,0.0
