,11,9:10,1:3:5:4:7:6:8,2
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.179374768079,0.0,0.0120515780978,0.0
Signature.3,0.0,0.0113325815217,0.0,0.0
Signature.4,0.0624150962785,0.0666968525202,0.0,0.0509543709617
Signature.5,0.0468313608936,0.0,0.184472391899,0.0
Signature.6,0.0163606855134,0.0620557821176,0.0,0.0125510412278
Signature.7,0.0,0.1860805478,0.0,0.16707394761
Signature.8,0.0,0.0813169966092,0.063716784135,0.0
Signature.9,0.0317090189752,0.0720534481566,0.0,0.0
Signature.10,0.0,0.0,0.0395139993752,0.0335666385894
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0584567434692,0.0,0.06585402623
Signature.13,0.0106120796494,0.0,0.0,0.136088402659
Signature.14,0.0,0.0,0.243720748865,0.10857791223
Signature.15,0.0,0.0,0.0575925349722,0.0
Signature.16,0.0,0.0,0.0768800659395,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0,0.0,0.203391733638,0.134060508608
Signature.19,0.0183789461526,0.0147709564405,0.0256395647444,0.0
Signature.20,0.0355430899172,0.0121716186374,0.0,0.0
Signature.21,0.0332169315152,0.012324296368,0.0,0.0170845112322
Signature.22,0.0167316967952,0.0,0.0,0.050054921475
Signature.23,0.0658794858234,0.251647138243,0.0249843636761,0.0133480302076
Signature.24,0.0861448660009,0.0,0.0680362346582,0.118860423633
Signature.25,0.0252607376255,0.0,0.0,0.0
Signature.26,0.0172864371667,0.0,0.0,0.0750220345258
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.035861571984,0.0,0.0,0.0
Signature.29,0.0,0.0,0.0,0.0169032308108
Signature.30,0.31839322763,0.171093038116,0.0,0.0
