,1:3:2
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.186112067169
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0931200622207
Signature.10,0.0227146135897
Signature.11,0.134277676781
Signature.12,0.0180059976796
Signature.13,0.111600112638
Signature.14,0.11015674286
Signature.15,0.089963622671
Signature.16,0.0
Signature.17,0.0158745618936
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0197229948387
Signature.22,0.0
Signature.23,0.0987931197787
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0115490247725
Signature.30,0.0881094031077
