,1:2:7:6,3:5:4
Signature.1,0.0,0.0175702964398
Signature.2,0.226841582786,0.0920799001612
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0238884437439,0.0
Signature.8,0.0,0.0
Signature.9,0.0839428676997,0.128558416901
Signature.10,0.0,0.0
Signature.11,0.184439326693,0.0862089506609
Signature.12,0.0239820489449,0.016305886933
Signature.13,0.0989035683149,0.0114430137792
Signature.14,0.0,0.0149265354743
Signature.15,0.0571997237543,0.0308321062901
Signature.16,0.0,0.0764198985429
Signature.17,0.0377759223729,0.0
Signature.18,0.0,0.0
Signature.19,0.0,0.0119876703483
Signature.20,0.0,0.229289255109
Signature.21,0.109452471858,0.0212327735932
Signature.22,0.0,0.0603229081181
Signature.23,0.0114544491789,0.0272663218402
Signature.24,0.0,0.0
Signature.25,0.1126417087,0.0889373088191
Signature.26,0.0,0.0866187569899
Signature.27,0.0,0.0
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.029477885953,0.0
